id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
174,30-44,Masculino,PB,Sitio arroz,Sitio arroz,1724.0,Castanhos,Ondulados,Não,Solteiro (a),Mamanguape,2020-11-13T12:24:00.000+0000,0
175,45-59,Masculino,PB,João Pessoa,Castelo Branco,1153.0,Castanhos,Ondulados,Não,Casado (a),João Pessoa,2022-06-07T19:05:00.000+0000,0
176,45-59,Masculino,PB,Santa Rita,TIBIRI,540.0,Pretos,Ondulados,Não,Solteiro (a),João Pessoa,2024-02-10T15:00:00.000+0000,0
177,60+,Masculino,RN,Parelhas,Municípios,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
178,45-59,Masculino,PB,Cajazeiras,Capoeiras,1798.0,Verdes,Lisos,Não,União Estável,Cajazeiras,2020-08-31T01:30:00.000+0000,0
179,18-29,Masculino,PB,Campina Grande,São José da Mata,549.0,Castanhos,Ondulados,Não,Solteiro (a),Campina Grande,2024-01-31T21:20:00.000+0000,0
180,12-17,Masculino,PB,Campina Grande,Malvinas,1033.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2022-10-05T16:30:00.000+0000,0
181,60+,Masculino,RN,Natal,CENTRO,1655.0,Castanhos,Ondulados,Não,Divorciado (a),Desconhecido,2021-01-21T13:28:00.000+0000,0
182,60+,Masculino,PB,Patos,Jardim Paulistano,787.0,Castanhos,Nenhuma das opções,Não,Casado (a),Campina Grande,2023-06-08T08:00:00.000+0000,0
183,18-29,Masculino,PB,São José de Espinharas,Centro,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
184,0-11,Masculino,PB,João Pessoa,Treze de Maio,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
185,60+,Masculino,PB,Juripiranga,Centro,1907.0,Pretos,Ondulados,Não,Casado (a),Juripiranga,2020-05-14T13:30:00.000+0000,0
186,60+,Masculino,PB,Santa Teresinha,Centro,1301.0,Pretos,Encaracolados,Não,Divorciado (a),Santa Teresinha,2022-01-10T14:00:00.000+0000,0
187,12-17,Masculino,PB,Campina Grande,Alto Branco,1628.0,Castanhos,Ondulados,Não,Solteiro (a),Campina Grande,2021-02-17T16:50:00.000+0000,0
188,30-44,Masculino,PE,Paulista,Miramar,410.0,Castanhos,Encaracolados,Não,Casado (a),João Pessoa,2024-06-18T21:38:00.000+0000,0
189,60+,Masculino,PB,São José do Brejo do Cruz,Zona rural,1943.0,Pretos,Lisos,Não,Solteiro (a),São José do Brejo do Cruz,2020-04-08T07:00:00.000+0000,0
190,45-59,Masculino,RJ,Campo Grande,Mangabeira,-1.0,Castanhos,Ondulados,Não,Divorciado (a),Desconhecido,Desconhecido,0
191,60+,Masculino,PB,Juazeirinho,Valentina de Figueiredo,-1.0,Pretos,Nenhuma das opções,Não,Casado (a),Desconhecido,Desconhecido,0
192,12-17,Masculino,PB,Conde,Bairro Novo,645.0,Pretos,Lisos,Sim,Solteiro (a),Conde,2023-10-28T11:28:00.000+0000,0
193,45-59,Masculino,PB,SOLEDADE,BELA VISTA,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
194,0-11,Masculino,PB,Esperança,centro,1441.0,Castanhos,Ondulados,Sim,Solteiro (a),Esperança,2021-08-22T21:00:00.000+0000,0
195,30-44,Masculino,PB,João Pessoa,Alto do Mateus,-1.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
196,18-29,Feminino,PB,Patos,Belo Horizonte,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
197,12-17,Masculino,PB,Puxinanã,Zona Rural,1523.0,Castanhos,Lisos,Não,Solteiro (a),Puxinanã,2021-06-01T23:00:00.000+0000,0
198,60+,Masculino,PB,Campina Grande,Bancarios,596.0,Pretos,Nenhuma das opções,Não,Casado (a),Desconhecido,2023-12-16T11:00:00.000+0000,0
199,45-59,Masculino,PB,Campina Grande,BODOCONGÓ,2302.0,Pretos,Ondulados,Não,Solteiro (a),Lagoa Seca,2019-04-15T10:00:00.000+0000,0
200,45-59,Feminino,PB,Campina Grande,Santo Antônio,-1.0,Pretos,Lisos,Não,Casado (a),Desconhecido,Desconhecido,0
201,12-17,Masculino,PB,João Pessoa,Bessa,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
202,12-17,Feminino,PB,Guarabira,ALTO DA BOA VISTA,1082.0,Pretos,Lisos,Não,Solteiro (a),Guarabira,2022-08-16T21:00:00.000+0000,0
203,12-17,Feminino,PB,João Pessoa,Valentina de Figueiredo,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
204,30-44,Masculino,PB,João Pessoa,Expedicionários,1847.0,Castanhos,Encaracolados,Não,Solteiro (a),João Pessoa,2020-07-13T18:00:00.000+0000,0
205,30-44,Masculino,PE,Jaboatão dos Guararapes,Zumbi do Pacheco,707.0,Castanhos,Nenhuma das opções,Não,Casado (a),Santa Rita,2023-08-26T20:30:00.000+0000,0
206,60+,Masculino,PB,Goiana,Jaguaribe,1057.0,Pretos,Ondulados,Não,Casado (a),João Pessoa,2022-09-11T11:00:00.000+0000,0
207,12-17,Masculino,PB,Salgado de São Félix,Pedro Gondim,1404.0,Castanhos,Carapinha,Não,Solteiro (a),João Pessoa,2021-09-29T12:30:00.000+0000,0
208,60+,Masculino,PB,Campina Grande,Cuités,1868.0,Castanhos,Carapinha,Não,Casado (a),Campina Grande,2020-06-21T23:30:00.000+0000,0
209,45-59,Masculino,SP,São Paulo,Manaíra,1140.0,Castanhos,Ondulados,Não,Casado (a),João Pessoa,2022-06-20T00:42:00.000+0000,0
210,30-44,Masculino,PB,João Pessoa,Mangabeira 4,1887.0,Pretos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2020-06-03T11:00:00.000+0000,0
211,18-29,Feminino,PB,João Pessoa,Gramame,1875.0,Castanhos,Encaracolados,Não,Solteiro (a),João Pessoa,2020-06-15T16:00:00.000+0000,0
212,60+,Masculino,RJ,Rio de Janeiro,Intermares,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
213,45-59,Masculino,PB,São João do Rio do Peixe,CENTRO,1881.0,Castanhos,Lisos,Não,Casado (a),São João do Rio do Peixe,2020-06-09T19:13:00.000+0000,0
214,60+,Masculino,PE,Igarassu,Sitio cabana,1911.0,Verdes,Nenhuma das opções,Não,Viúvo (a),Pedras de Fogo,2020-05-10T12:00:00.000+0000,0
215,45-59,Masculino,RJ,Rio de Janeiro,Centro,-1.0,Castanhos,Lisos,Não,Divorciado (a),Desconhecido,Desconhecido,0
216,45-59,Masculino,PB,Guarabira,Tambiá,1205.0,Castanhos,Lisos,Não,Casado (a),João Pessoa,2022-04-16T02:52:00.000+0000,0
217,12-17,Outro,PB,joao pessoa,centro,1122.0,Pretos,Lisos,Não,Solteiro (a),Cabedelo,2022-07-08T12:50:00.000+0000,0
218,30-44,Masculino,PB,Campina Grande,Jardim Oceania,-1.0,Castanhos,Ondulados,Não,União Estável,Desconhecido,Desconhecido,0
219,30-44,Masculino,PB,João Pessoa tá,Mangabeira 7,1955.0,Verdes,Lisos,Sim,União Estável,Desconhecido,2020-03-27T14:00:00.000+0000,0
220,30-44,Feminino,PB,Solânea,CENTRO,-1.0,Castanhos,Lisos,Sim,Viúvo (a),Desconhecido,Desconhecido,0
221,30-44,Masculino,PE,Paulista,Miramar,-1.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),Desconhecido,Desconhecido,0
222,45-59,Masculino,PB,ITABAIANA,Valentina de Figueiredo,-1.0,Castanhos,Nenhuma das opções,Não,Casado (a),Desconhecido,Desconhecido,0
223,45-59,Feminino,PB,Cabedelo,Centro,-1.0,Pretos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
224,30-44,Masculino,PB,Cabedelo,Ponta de Matos,1501.0,Pretos,Ondulados,Não,Solteiro (a),Cabedelo,2021-06-24T02:00:00.000+0000,0
225,30-44,Masculino,PB,João Pessoa,Valentina,426.0,Nenhuma das opções,Encaracolados,Não,Casado (a),João Pessoa,2024-06-03T11:30:00.000+0000,0
226,18-29,Masculino,SP,Arujá,Zona Rural,1540.0,Castanhos,Carapinha,Não,União Estável,Itaporanga,2021-05-15T23:50:00.000+0000,0
227,12-17,Masculino,PB,Campina Grande,Bodocongo,1506.0,Pretos,Ondulados,Não,Solteiro (a),Campina Grande,2021-06-19T13:00:00.000+0000,0
228,18-29,Masculino,PB,Catingueira,Sítio Curtume,971.0,Pretos,Encaracolados,Sim,Solteiro (a),Catingueira,2022-12-05T23:14:00.000+0000,0
229,12-17,Masculino,PB,Patos,Brasília,1956.0,Castanhos,Ondulados,Sim,Solteiro (a),Patos,2020-03-26T15:00:00.000+0000,0
230,12-17,Masculino,PB,João Pessoa,Paratibe,1475.0,Castanhos,Carapinha,Não,Solteiro (a),João Pessoa,2021-07-20T19:00:00.000+0000,0
231,18-29,Masculino,PB,Areial,Centro,481.0,Castanhos,Lisos,Sim,Solteiro (a),Areial,2024-04-09T14:30:00.000+0000,0
232,12-17,Feminino,PB,Patos,Belo Horizonte,1315.0,Castanhos,Lisos,Sim,Solteiro (a),Patos,2021-12-27T19:47:00.000+0000,0
233,45-59,Masculino,PB,Itabaiana,bela vista,1923.0,Azuis,Lisos,Não,Solteiro (a),Desconhecido,2020-04-28T11:00:00.000+0000,0
234,45-59,Masculino,PB,Itaporanga,Bela vista,-1.0,Pretos,Ondulados,Não,Casado (a),Desconhecido,Desconhecido,0
235,12-17,Masculino,PB,João Pessoa,Centro,1504.0,Castanhos,Encaracolados,Não,Solteiro (a),Lagoa Seca,2021-06-20T23:40:00.000+0000,0
236,30-44,Masculino,PB,campina grande,prata,-1.0,Castanhos,Ondulados,Não,Solteiro (a),Desconhecido,Desconhecido,0
237,12-17,Feminino,PB,Santa Rita,"Tibiri, heitel",974.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2022-12-02T22:30:00.000+0000,0
238,12-17,Masculino,PB,Campina Grande,NAÇÕES,1277.0,Castanhos,Carapinha,Não,Solteiro (a),Campina Grande,2022-02-03T14:00:00.000+0000,0
239,60+,Masculino,DF,Itaporanga,Centro,1265.0,Pretos,Nenhuma das opções,Não,Casado (a),Itaporanga,2022-02-15T11:00:00.000+0000,0
240,30-44,Masculino,PB,João Pessoa,Castelo Branco,1092.0,Pretos,Lisos,Não,Solteiro (a),João Pessoa,2022-08-07T13:23:00.000+0000,0
241,18-29,Masculino,PB,João Pessoa,Planalto Boa Esperança,-1.0,Castanhos,Lisos,Sim,Solteiro (a),Desconhecido,Desconhecido,0
242,45-59,Feminino,PB,Taperoa,Bodocongó,1869.0,Castanhos,Lisos,Não,Solteiro (a),Campina Grande,2020-06-21T09:30:00.000+0000,0
243,60+,Feminino,PB,Vieirópolis,ZONA RURAL,2210.0,Pretos,Ondulados,Não,Viúvo (a),Vieirópolis,2019-07-16T08:00:00.000+0000,0
244,18-29,Masculino,PB,Gurjão,Centro,1082.0,Castanhos,Lisos,Não,Casado (a),São João do Cariri,2022-08-17T11:00:00.000+0000,0
245,12-17,Masculino,PB,Juazeirinho,Jardim Aeroporto,1756.0,Castanhos,Encaracolados,Não,Solteiro (a),Bayeux,2020-10-11T23:39:00.000+0000,0
246,30-44,Masculino,PB,Santa Rita,Varzea nova,1509.0,Castanhos,Encaracolados,Não,Solteiro (a),Santa Rita,2021-06-16T06:00:00.000+0000,0
247,45-59,Feminino,RN,Serra de São Bento,Altiplano Cabo Branco,-1.0,Castanhos,Encaracolados,Não,Viúvo (a),Desconhecido,Desconhecido,0
248,30-44,Masculino,PB,Campina Grande,Três Irmãs,1280.0,Castanhos,Ondulados,Não,Solteiro (a),Campina Grande,2022-01-31T18:45:00.000+0000,0
249,18-29,Masculino,PB,Joao Pessoa,Altiplano Cabo Branco,-1.0,Castanhos,Lisos,Não,Solteiro (a),Desconhecido,Desconhecido,0
